English,Українська
you,ви
i,Я
the,з
to,до
s,s
it,це
and,і
that,що
t,т
of,на
is,є
in,у
what,що
we,ми
me,Я
this,це
he,він
for,для
my,мій
on,на
have,мати
your,ваш
do,робити
was,був
m,м
no,немає
not,не
be,бути
are,є
don,дратувати
re,re
know,знати
can,банкнота
with,з
but,але
all,все
so,так
just,просто
there,там
here,ось
they,Вони
like,люблю
ll,ll
get,отримати
she,вона
go,йти
if,якщо
right,право
out,поза
about,про
up,вгору
at,в
him,його
now,тепер
oh,он
one,один
come,прийти
well,Ну
her,її
how,як
yeah,так
ve,двигун
will,воля
got,здобули
want,бажати
think,думати
as,як
see,побачити
did,зробив
good,добрий
who,ВООЗ
why,чому
from,з
let,дозволяти
his,його
yes,так
when,коли
going,йдуть
time,час
an,АН
okay,Гаразд
back,спинка
look,виглядати
us,нас
would,б
them,їх
where,де
were,були
take,брати
then,потім
had,мав
or,або
been,був
our,наш
gonna,збирати
tell,розповідати
really,дійсно
man,людина
some,дещо
say,казати
hey,привіт
could,міг
d,р.
didn,не
by,за
need,потреба
something,щось
has,мати
too,теж
more,більше
way,шлях
down,вниз
make,робити
very,дуже
never,ніколи
only,єдиний
people,Люди
over,над
because,оскільки
little,мало
please,будь ласка
love,любов
should,слід
mean,середній
said,сказаний
sorry,виражений
give,давати
off,не вистачати
am,амор
thank,спасибі
any,будь -який
two,два
even,навіть
much,багато
doing,робити
sure,упевнений
thing,річ
these,ці
help,допомога
first,перший
into,у
anything,що -небудь
still,нерухомий
find,знаходити
life,життя
nothing,ніщо
sir,сер
day,день
god,бог
work,працювати
their,їх
uh,е -е
again,знову
maybe,може бути
must,Потрібно
before,до
other,інший
wait,чекати
stop,СТІЙ
call,закликати
after,після
won,вигравати
talk,розмова
away,геть
than,ніж
thought,думка
home,домашній
night,нічний
put,поставити
great,великий
those,ті
last,останній
better,краще
everything,все
told,розказаний
mr.,Містер.
new,новачок
things,речі
always,завжди
keep,тримати
long,довго
years,роки
leave,залишати
does,упорядкування
money,гроші
around,навколо
doesn,не
name,назва
place,місце
ever,колись
feel,відчуття
guys,хлопці
father,батько
guy,городок
made,зроблений
old,старий
isn,ISN
which,котрий
big,великий
lot,лот
done,виконаний
hello,привіт
nice,непоганий
believe,вірити
girl,дівчинка
someone,хтось
fine,штраф
thanks,Дякую
wanted,розшуканий
kind,вид
coming,прихід
house,будинок
every,кожен
ok,в порядку
through,через
being,буття
course,курс
stay,залишатися
left,лівий
dad,тато
enough,достатньо
happened,сталося
came,прийшов
may,може
mother,мама
wrong,неправильний
world,світ
bad,поганий
might,могло
three,три
today,сьогодні
listen,слухати
another,інший
understand,зрозуміти
hear,чути
remember,запам'ятати
ask,запитувати
own,власний
same,однаковий
show,показувати
else,інакше
kill,убити
talking,розмова
found,знайдений
next,наступний
getting,дістатися
care,турбота
car,машина
looking,на вигляд
son,син
try,намагатися
woman,жінка
went,пішов
hi,Привіт
dead,мертвий
many,багато
mind,розум
wasn,не був
friend,друг
best,найкраще
mom,мама
hell,пекло
morning,ранковий
trying,намагання
boy,хлопчик
together,разом
yourself,сам
job,робота
saw,бачив
family,сім'я
real,реальний
without,без
baby,дитячий
room,кімната
wouldn,не мав би
already,вже
move,рухатися
most,найбільше
seen,побачений
live,жити
miss,міс
actually,власне
huh,а
shit,лайно
both,обидва
heard,почув
once,раз
ready,готовий
head,голова
called,названий
used,використаний
idea,ідея
knew,знав
hold,утримувати
happy,щасливий
door,дверима
such,такий
fuck,ебать
brother,брат
also,також
pretty,гарненький
bit,кут
took,взяв
haven,притулок
yet,ще
men,чоловіки
whole,цілий
start,почати
use,використання
while,в той час
since,з тих пір
wife,дружина
days,дні
guess,здогадуватися
tomorrow,завтра
matter,речовина
meet,зустрічатися
bring,приносити
tonight,сьогодні
everyone,всі
run,пробігати
wanna,хоче
hard,важкий
ah,ах
alone,самотній
myself,себе
school,школа
gone,пропав
um,гм
end,кінець
saying,приказка
phone,телефон
play,гра
looks,погляди
couldn,не міг
fucking,блядь
problem,проблема
few,небагато
friends,друзі
gotta,треба
ago,тому
open,ВІДЧИНЕНО
anyone,будь -хто
killed,убито
hope,надія
face,обличчя
until,до
lost,загублений
police,поліція
excuse,вища людина
turn,обертати
business,бізнес
case,випадок
wants,бажати
says,говорить
TRUE,Правдивий
die,загинути
heart,серце
soon,скоро
each,кожен
worry,турбота
later,пізніше
year,рік
watch,стежити
music,музика
hand,рука
having,що має
probably,ймовірно
beautiful,гарний
doctor,лікар
sit,сидіти
eat,їсти
thinking,мислення
young,молодий
second,другий
working,робочий
water,вода
person,людина
part,розлучатися
kids,дітям
late,пізній
stuff,нагода
exactly,точно
under,під
death,смерть
minute,хвилина
pay,оплачувати
crazy,божевільний
forget,забути
everybody,всі
kid,дитячий
change,зміна
gave,дав
happen,траплятися
damn,проклятий
five,п'ять
drink,пити
far,далеко
knows,знає
its,його
whatever,що б не був
eyes,очі
shut,закривати
aren,арен
hit,вдарити
taking,прийняття
easy,легкий
times,час
check,перевіряти
hands,руки
minutes,хвилини
deal,угода
different,інший
means,засоби
point,точка
inside,всередині
makes,робити
asked,запитував
somebody,хтось
mine,Шахта
making,створення
body,тіло
afraid,боїться
sleep,сплячий
chance,шанс
dear,дорогий
quite,досить
four,чотири
anyway,у будь -якому випадку
close,закривати
ain,аїн
party,вечірка
fun,веселий
against,проти
word,слово
comes,приходить
important,важливий
set,встановити
shall,має
story,розповідь
number,число
daughter,дочка
least,найменший
waiting,очікування
hurt,боляче
wish,бажання
moment,миттєво
fight,боротьба
week,тиждень
husband,чоловік
girls,дівчата
rest,відпочинок
married,одружений
fire,вогонь
game,грі
nobody,ніхто
mr,Містер
children,дітям
side,бік
stand,стояти
read,читати
though,хоч
cut,вирізати
started,розпочато
sister,сестра
supposed,передбачуваний
between,між
child,дитина
goes,ходити
hours,годинник
speak,говорити
women,жінки
behind,ззаду
almost,майже
truth,правда
blood,кров
able,здатний
lady,леді
anymore,вже
playing,гра
gets,дістатися
shot,постріл
reason,розум
trouble,клопот
break,перерва
war,війна
city,місто
walk,ходити
town,місто
trust,довіра
dr.,доктор.
met,зустрінетний
office,офіс
question,питання
brought,приносять
yours,ваш
welcome,вітати
high,високий
wow,Ого
